Engine,Version,Published,STC,LTC,VLTC,Author,Home
Malika,1.685,2026-07-17,3094,3283,3352,Fauzi Dabat Akram,https://github.com/FauziAkram/Malika-releases
Lunar,0.4.0,2025-09-23,2822,3213,3351,Patrick Hilhorst,https://github.com/Synthetica9/lunar
Lambergar,1.5,2026-05-28,3031,3260,3345,Jabolcni Strudelj,https://github.com/jabolcni/Lambergar
Ursus,1.0.0,2026-06-30,3059,3278,3324,Zander Chown,https://github.com/zchown/Ursus
Carp,3.0.1,2023-09-25,3001,3258,3322,Andrea Sgobbi,https://github.com/dede1751/carp
Komodo,14.1,2020-11-01,2994,3249,3310,"Dailey Don, Lefler Mark, Kaufmann Larry",
Bagatur,5.5c,2026-05-30,2921,3235,3295,Krasimir Topchiyski,https://github.com/bagaturchess/Bagatur
Prelude,2.1,2025-12-10,3025,3254,3291,,https://github.com/Quinniboi10/Prelude
Pedone,3.1,2021-04-01,2936,3210,3276,Fabio Gobbato,
Arcanum,2.8,2026-05-16,2904,3213,3276,Lars Aurud,https://github.com/LarsAur/Arcanum
Justbot,0.3.0,2026-07-19,3033,3252,3275,Hassan Fakih,https://github.com/HasanFakih21/JustBot
Cheng4,4.48,2026-07-12,2943,3229,3274,,https://github.com/kmar/cheng4_releases
Petrel,3.5,2026-06-02,3006,3173,3262,Aleks Peshkov,https://github.com/AleksPeshkov/petrel
Grail,2.0.1,2026-06-10,2925,3193,3260,Jorgen Hanssen,https://github.com/jorgenhanssen/grail
Theoria,0.2,2026-02-21,3236,3268,3251,,https://www.theoriachess.org/
Thrawn,3.1,2026-07-07,2858,3163,3247,Feiyu Lin,https://github.com/feftywacky/Thrawn
Askaig,20260704,2026-07-04,3015,3194,3245,Nguyen Van Thang,https://github.com/sophiathedev/askaig
SoloEngine,2.2.0,2026-06-06,2843,3120,3225,Yunus Emre Yıldız,https://github.com/yunusemreyldz07/SoloEngine
Chessnix,1.4,2026-04-28,2865,3127,3218,Langedijk Eric,https://github.com/ericlangedijk/chessnix/
Onyx,2.0,2026-07-12,2889,3146,3213,Dylan Hogarth,https://github.com/dylan2554/onyx
ChessSystemTal,Extreme,2026-01-07,2912,3158,3213,Chris Wittington,
Tunguska,2.1,2026-04-08,2807,3132,3204,Fernando Tenorio,https://github.com/fernandotenorio/Tunguska
Bitbit,1.6,2025-10-18,2892,3129,3194,Isak Ellmer,https://github.com/Spinojara/bitbit
Lynx,1.11.0,2025-10-01,2820,3128,3190,Eduardo Caceres,https://github.com/lynx-chess/Lynx
Pawnstar,0.13.593,2026-06-30,2813,3086,3189,Jonny Reckless,https://github.com/jonny-reckless/pawnstar
Odonata,1.1.0,2026-02-07,2822,3139,3182,Andy Watkins,https://github.com/akanalytics/odonata
RukChess,4.2.0,2026-01-11,2809,3113,3181,Ilya Rukavishnikov,https://github.com/Ilya-Ruk/RukChess
Sykora,3.1,2026-07-15,2700,3096,3170,Sullivan Bognar,https://github.com/sb2bg/sykora
Lc0,0.32.1,2025-11-23,2395,2989,3160,https://lczero.org/,https://github.com/LeelaChessZero/lc0
Maelstrom,3.3.0,2025-08-27,2728,3051,3160,Saigautam Bonam,https://github.com/saisree27/Maelstrom
Vajolet2,3.2,2026-05-17,2842,3110,3159,Marco Belli,https://github.com/elcabesa/vajolet
Sturddle2,2.5.0,2026-02-04,2685,3012,3152,Cristian Vlasceanu,https://github.com/cristivlas/sturddle-2
C4ke,3.0,2026-01-05,2727,3082,3124,,https://github.com/citrus610/c4ke
Myrddin,0.96,2026-06-08,2742,3039,3110,John Merlino,https://github.com/JVMerlino/Myrddin
Laser,1.7,2019-02-07,2774,3046,3110,Jeffrey An,https://github.com/jeffreyan11/laser-chess-engine
Monolith,3.0,2026-04-04,2770,3019,3106,Jonas Mayr,https://github.com/cimarronOST/Monolith
Princhess,0.21.0,2025-10-13,2823,3063,3105,Lana Samson,https://github.com/princesslana/princhess
Gyatso,1.4.0,2026-06-05,2687,3016,3101,Gyatso Neesham,https://github.com/GyatsoYT/GyatsoChess
Yakka,1.5,2026-01-22,2751,3013,3096,Christopher Crone,https://github.com/CJDalrymple/Yakka
Gilipol,2.00,2026-06-06,2664,2971,3094,José Carlos Martínez Galán,https://github.com/Lacovipo/Gilipol
Tornado,9.0,2020-12-15,2124,2944,3093,Engin Ustun,
Kobra,2.1,2026-03-03,2695,3006,3086,Jasper Sinclair,https://github.com/jasper-sinclair/kobra
Dog,4.10.2,2025-12-05,2793,3021,3079,Folkert van Heusden,https://github.com/folkertvanheusden/Dog
Gull,3,2015-11-18,2732,2985,3069,Demichev Vadim,https://github.com/basil00/Gull
Pea,9.0,2026-06-01,2685,3021,3055,Warre Gevers,https://github.com/WGCodings/Pea
Gecko,0.40,2026-06-11,2669,2967,3028,Bingwen Yang,https://github.com/sgtqwq/Gecko
Roc,1.11,2026-05-11,2734,2934,3024,Tom Hyer,https://github.com/TomHyer/Roc
Anubis,3.0.6,2025-10-02,2476,2904,3023,Jose Carlos Martinez Galan,https://github.com/Lacovipo/Anubis-chess-engine
NirvanaChess,2.5,2020-12-01,2669,2943,3017,Thomas Kolarik,
Equinox,3.30,2014-12-01,2697,2955,3013,"Claudio del la Corte, Stefano Rocchi",
Ice4,6.1,2025-10-27,2538,2909,3005,Carlson Mark,https://github.com/MinusKelvin/ice4
Pounce,3.0.0,2025-10-13,2705,2965,3002,Alex Flick,https://github.com/0xflick/pounce
Rudim,3.0.5,2026-07-06,2616,2869,2989,Vishnu Bhagyanath,https://github.com/znxftw/rudim
4kc,9.0,2026-06-06,2523,2846,2955,Gediminas Masaitis,https://github.com/GediminasMasaitis/4k-dot-c
FoxChess,1.2,2026-06-20,2503,2827,2920,Nathan Faltermeier,https://github.com/nfaltermeier/fox-chess
Basilisk,1.9.0,2026-07-18,2552,2869,2920,Miloslav Macůrek,https://github.com/maelic13/basilisk
Weak,1.0.0,2025-08-11,2522,2865,2916,Ethan Pan,https://github.com/Dragjon/weak-chess-engine
Meltdown,1.11,2025-11-15,2662,2853,2913,"Hans Binderup, Clara Shepherd",https://github.com/hansbinderup/meltdown-chess-engine
Onslaught,1.0,2026-06-02,2542,2793,2900,,https://github.com/kachhy/Onslaught
ShallowGuess,1.1.0,2026-03-25,2279,2708,2896,Zixiao Han,https://github.com/buildingwheels/ShallowGuess
Noggin,2.1,2026-07-04,2643,2865,2894,Jeremy Lim,https://github.com/jeremyylimmm/noggin
Hakkapeliitta,3.0,2016-04-01,2511,2780,2886,Mikko Aarnos,https://github.com/mAarnos/Hakkapeliitta
Chess3,4.0,2026-04-02,2498,2790,2880,Paul Sonkoly,https://github.com/paulsonkoly/chess-3
Owen,1.0.0,2026-06-20,2302,2749,2874,Hemesh Kasukurthy,https://github.com/HSR-projects/Owen
tomitankChess,7.0,2026-07-06,2529,2843,2873,Tamas Kuzmics,https://github.com/tomitank/tomitankChess
Crafty,25.6.1,2026-06-24,2454,2766,2840,Robert M. Hyatt,https://github.com/stevemaughan/Crafty-Chess
RuthIron,21.9.6.7,2026-02-28,2384,2730,2836,Emre Kalkan,https://github.com/themreKalkan/RuthIron
Rybka,2.3.2a,2010-06-04,2300,2795,2830,Vasik Rajlich,
Publius,1.1,2025-12-31,2461,2739,2816,Pawel Koziol,https://github.com/nescitus/publius
Revolver,2.0,2026-05-01,2515,2759,2815,Deshawn Mohan-Smith,https://github.com/GoldenRare/Revolver
Ratsu,2.1.0,2026-06-29,2365,2651,2799,Eetu Rantala,https://github.com/ranzuh/ratsu
NiCimEngine,3.4.1,2020-10-28,2267,2608,2797,,https://github.com/yodatk/NiCimEngine
DiscoCheck,5.2.1,2014-08-01,2457,2700,2788,Lucas Braesch,
Dual,0.4.0,2026-07-19,2367,2642,2763,Tomasz Stawowy,https://github.com/DSTGU/Dual
JackyChess,25.12,2025-12-03,2233,2638,2746,Matthias Lang,https://github.com/matthiaslang/jackychess
ByteKnight,4.0.0,2026-05-01,2383,2660,2743,Paul T,https://github.com/DeveloperPaul123/byte-knight
Facon,1.6,2026-06-11,2364,2606,2738,Carlos M. Canavessi,https://github.com/CMCanavessi/facon
GreKo,2021.12,2021-12-01,2321,2576,2728,Vladimir Medvedev,
Fruit,2.3.1,2007-08-01,2318,2573,2716,Fabien Letouzey,
