Engine,Version,Published,STC,LTC,VLTC,Author,Home
Anodos,1.3.0,2026-02-16,2214,2472,2529,Tom Cant,https://github.com/tomcant/chess-rs
Zeppelin,1.3.0,2026-03-05,1644,1955,2024,Szczerbinski Jakub,https://github.com/jszczerbinsky/zeppelin
Laura,1.1.0,2026-01-26,1438,1536,1461,Hans Tibberio,https://github.com/HansTibberio/Laura
